Bistum	Amtsart	Amtsbeginn	Amtsende	ID_Amt	ID
Augsburg	Bischof	1248	1286	5	2522
Paderborn	Elekt	1277	1279	3586	3273
Paderborn	Bischof	1279	1307	715	3273
Schwerin	Bischof	1238	1239	903	3474
Utrecht	Bischof	1291	1296	3756	3580
Toul	Bischof	1296	1305	1002	3580
Würzburg	Koadjutor des Bischofs	1396	1400	3869	3760
Würzburg	Bischof	1400	1411	1174	3760
Hildesheim	Bischof	874	880	1541	4141
Konstanz	Bischof	760	782	1631	4234
Konstanz	Bischof	1018	1022	1644	4247
Meißen	Bischof	1106	1119	1834	4446
Ölmütz	Bischof	1182	1184	1991	4609
Ölmütz	Bischof	1186	1194	1992	4610
Chiemsee	Bischof	1477	1495	2644	5286
Lübeck	Bischof	1559	1561	21447	20796
